french	english	category	definition	source_article
pallâtre	lock face plate	lock-ironwork	The plate carrying the lock; the keyhole (entrée) is pierced in it above the bolt. Filets riveted on it both reinforce it and guide the key in the dark.	Serrurerie
pêle / pesle	lock bolt	lock-ironwork	The sliding bolt. Fig 24 distinguishes the pêle intérieur p from the pêle extérieur P′, joined by two strong rivets running in a coulisse through the pallâtre.	Serrurerie
gâchette	sliding latch / outer bolt	lock-ironwork	The externally visible sliding member; can be left free to work like a verrou when the cramponnet is raised.	Serrurerie
cramponnet	locking catch / dog	lock-ironwork	The catch that a turn of the key lowers to block the bolt, or raises to free it. The actual locking element in a serrure à bosse.	Serrurerie
gâche	strike / keeper	lock-ironwork	Receives the end of the bolt when the door shuts.	Serrurerie
entrée	keyhole	lock-ironwork	Pierced in the pallâtre above the bolt; these locks generally have only one.	Serrurerie
serrure à bosse	boss lock	lock-ironwork	The earliest known type, not before the 12th c: box raised with the hammer, bevelled edges, set on a pallâtre, boss outside the leaf and bolt inside.	Serrurerie
embrasse	strap / staple	lock-ironwork	Riveted retainer holding the bolt to the plate; fig 23 has two.	Serrurerie
torsade	twisted-rope moulding	lock-ironwork	Baguette used to reinforce the edges of a pallâtre.	Serrurerie
langue-de-carpe	carp-tongue	joint	Lateral tongue used to hold small beaten leaves to a loop.	Serrurerie
grain d'orge	barley-grain	joint	The seating in which a langue-de-carpe is taken.	Serrurerie
soudure au marteau	fire welding / hammer weld	tool-process	The dominant joint in pentures, with scarfed ends; Viollet's astonishment is that iron behaved 'like wax or lead' under the heat.	Serrurerie
doublure	doubling plate	carpentry-member	A second bar laid on the hinge band; Viollet's lamination is STRUCTURAL, in the band, welded only at intervals and left free between for stiffness plus elasticity plus lightness.	Serrurerie
giron	going / tread width of a step	stair-member	CORRECTED. Viollet's own article Giron: «Est la largeur d'une marche d'escalier. Le giron est dit DROIT lorsque la marche est d'une égale largeur dans toute sa longueur; TRIANGULAIRE lorsque la marche est renfermée dans une cage circulaire. Alors ON MESURE LE GIRON DE LA MARCHE AU MILIEU DE SA LONGUEUR.» So a winder's giron is measured at the MIDDLE of the step's length, i.e. essentially the modern walking line - NOT at the wide/outer end. Supersedes the cycle-17 gloss.	Giron
giron droit	straight going	stair-member	A step of equal width along its whole length (straight flight).	Giron
giron triangulaire	triangular going / winder	stair-member	A step enclosed in a circular cage; its giron is measured at mid-length.	Giron
noyau	newel	stair-member	Viollet's own article: «Cylindre de pierre ou de bois montant de fond, formant l'axe d'un escalier à vis. Les noyaux sont PLEINS OU ÉVIDÉS, TENANT AUX MARCHES OU INDÉPENDANTS, et dans ce dernier cas portant celles-ci au moyen d'un EMBRÈVEMENT ou d'un REPOS.» A 2x2 parameter matrix plus two named bearing methods.	Noyau
embrèvement	housing / rebate	joint	One of the two ways an independent newel carries its steps.	Noyau
repos	rest / ledge	joint	The other way an independent newel carries its steps.	Noyau
limon	string (timber)	stair-member	Viollet's own article: a raking TIMBER piece carrying the steps at the end opposite the wall. HARD NEGATIVE RULE: «Les limons de pierre n'étaient PAS employés dans l'architecture du moyen âge» - stone strings were not used; instead the step revolutions in square or oblong-plan stairs were carried ON ARCHES, «beaucoup plus solide que le système de limons appareillés».	Limon
mur d'échiffre	echiffre wall	stair-member	Viollet's own article: the wall on which the steps bear, when that wall does not rise above the stepped levels of the flight.	Échiffre
boudin	roll moulding used as handrail	stair-member	In the newel-less vis the steps each carry a boudin at their INNER end to serve as a main-courante - the handrail is the step's own moulded end.	Escalier
délardée (marche)	backed off / dressed to a helical soffit	tool-process	One of three soffit treatments for vis steps.	Escalier
chandelle de pierre	stone prop / candle	stair-member	At Reims the B stones relieving the step bearings; Viollet states they are only «une suite d'étançons formant clôture à jour» - props forming an open screen, not structure.	Escalier
en délit	set on edge / against the bed	tool-process	Stones bedded against their natural bed, used at Reims to relieve the outer step ends.	Escalier
enceinte	enceinte, defensive circuit	enceinte	The continuous ring of wall and towers round a town or castle. Carcassonne has two concentric ones, with the lices between.	Architecture militaire
courtine	curtain wall	enceinte	The stretch of wall between two towers. Averages 2-3 m thick before gunpowder; its walk is at most 2 m wide.	Architecture militaire
chemin de ronde	wall walk, rampart walk	enceinte	The walk along the head of a curtain or round a tower, behind the parapet. Deliberately interrupted at towers so a captured stretch does not give the rest.	Tour
coursiere	timber back-walk behind a stone machicolation parapet	enceinte	Boarded gangway built behind the machicolation wall so men can move and be resupplied without crowding the shooters.	Architecture militaire
parapet	parapet	enceinte	Wall on the outer edge of the walk; 0.50-0.70 m thick, pierced with closely set archeres.	Architecture militaire
creneau	crenel, embrasure	crenellation	The gap in a crenellated parapet. Fitted with hinged timber shutters (portieres) raised on a ratchet.	Architecture militaire
merlon	merlon	crenellation	The solid block between crenels. Shattered dangerously by iron round shot, which is one reason the crenellated stone crown was abandoned.	Architecture militaire
crenelage	crenellation, the crenellated crown as a whole	crenellation	Collective term for the crenel-and-merlon system of a tower or curtain.	Tour
portiere	crenel shutter	crenellation	Timber shutter on a horizontal axle closing a crenel, raised by a cremaillere (ratchet) to whatever angle the shooter wants.	Architecture militaire
mantelet	mantlet	crenellation	Shutter or portable shield; at Carcassonne the Visigothic crenels have corbels cut to take mantlet pivots.	Tour
archere	arrow loop	loophole	Shooting slit. External slit about 0.10 m, internal embrasure 1-1.50 m.	Architecture militaire
arbalestriere	crossbow loop	loophole	Loop shaped for a crossbow; used interchangeably with archere in this work.	Architecture militaire
meurtriere	loophole, murder-hole slit	loophole	General term for a defensive slit. Viollet judges them better for observation, light and air than for real defence, because the angle out is too acute.	Architecture militaire
hourd	hoarding, brattice	timber defence	Timber gallery corbelled out from the wall head in wartime only, with a floor slotted for vertical dropping. Left the stone parapet standing behind it.	Architecture militaire
hourdage	hoarding work, the timber system as built	timber defence	The assembled hoarding, posts, floor and roof; at the Narbonnaise a double hourdage was set in front of the main machicolation.	Porte
bretache	bretache, timber projecting box-gallery	timber defence	Small timber machicolated box thrown out over a threatened point. Glossed by Du Cange as castella lignea.	Architecture militaire
machicoulis	machicolation	stone defence	Stone gallery on corbels with vertical drop-slots. Replaced hourds once incendiary attack made timber untenable.	Architecture militaire
corbeau	corbel	stone defence	Stone bracket; stacked in courses to carry a machicolation, spaced 0.70-1.20 m axis to axis.	Architecture militaire
assommoir	murder-hole over a gate passage	gate defence	Opening in the vault of a gate passage for dropping stones and fire on anyone trapped below.	Porte
echauguette	bartizan, corner turret	tower	Small corbelled angle turret; at Saint-Nazaire the echauguettes flank the hourds and are themselves flanked by the hourds' side loops.	Tour
guette	watch turret, lookout	tower	Look-out turret rising above the roof; at Pierrefonds its open-newel stair doubles as a speaking tube down to the wall walk.	Tour
tour	tower	tower	Work projecting from the curtain, square or round, giving flanking fire. Round after the 12th century because rams break the angles of square ones.	Tour
tour du coin	corner tower	tower	Angle tower; built on a larger circle than the others because a salient is the easiest point to attack.	Architecture militaire
bec / eperon	spur, beak on a round tower	tower	Pointed spur added to a round tower at the tangent point, forcing the attacker off the dead line and killing the ram's purchase.	Porte
gorge	gorge, rear opening of a work	tower	The rear of a tower or outwork. 'Ouvert a la gorge' means open behind, so it cannot be held against the place if captured.	Tour
talus	batter, sloping base	tower	The splayed base of a wall or tower. Towers solid through the height of the talus cannot be mined, and dropped stones ricochet off it into the attackers.	Tour
fruit	batter, inward inclination of a face	masonry	Built with an inward lean; the Vincennes towers are 'baties en fruit par assises de gres dur'.	Tour
bossage	boss, rusticated face	masonry	Rough-left projecting face on ashlar; used at Vincennes low down and near the top.	Tour
appareil	coursed ashlar, the stone-cutting	masonry	The dressed stonework. Pierrefonds keeps a uniform 0.33 m (one pied) course throughout.	Donjon
assise	course	masonry	Horizontal layer of masonry; a strong dating and quality signal in this work.	Donjon
blocage	rubble core, concreted fill	masonry	Flint or rubble set in mortar between two dressed facings; the Roman method, kept at Arques.	Donjon
fosse	ditch, moat	outwork	Dry or wet ditch; 15 m by 7 m at Salses, about 20 m wide at Cadillac, 12 m at Villeneuve-sur-Yonne.	Tour
escarpe	scarp, inner face of the ditch	outwork	The defender's side of the ditch.	Tour
contrescarpe	counterscarp, outer face of the ditch	outwork	The attacker's side of the ditch; the breaching batteries are pushed as close to it as possible.	Porte
glacis	glacis	outwork	The open swept slope beyond the counterscarp; the outer tower loops are set to graze it.	Tour
lices	lists, the ward between two enceintes	outwork	The road between outer and inner enceinte. Palisaded off in sections so it cannot be run along; only the night patrols pass the barriers.	Porte
barbacane	barbican	outwork	Advanced work covering a gate, allowing sorties and covered retreats. Timber and earth until the 13th century, then masonry, always open at the gorge.	Porte
boulevard	boulevard, low artillery outwork	outwork	Late-medieval broad low work, usually before a gate, built to carry and to resist guns.	Porte
chatelet	gatehouse fort, chatelet	outwork	Detached fortified block covering a gate, as at the porte Saint-Lazare of Avignon.	Porte
bastille	bastille, detached fort astride a road	outwork	A gate or bridge work turned into an independent fort; also the besieger's field fort.	Architecture militaire
braie / fausse braie	braie, fausse braie	outwork	Low outer wall in front of the main rampart, later flanked and used for grazing fire; the artillery-age replacement of the lices.	Architecture militaire
caponniere	caponier	outwork	Covered passage across or along a ditch, loopholed for musketry; used at Salses to link the detached flanking towers to the curtain casemates.	Tour
moineau	moineau, low ditch work	outwork	Small low salient work in the ditch bottom for arquebusiers or crossbowmen.	Tour
cavalier	cavalier	outwork	Raised gun platform behind a curtain or on a bastion, giving a second tier of fire.	Architecture militaire
orillon	orillon	outwork	Rounded shoulder masking a bastion flank.	Architecture militaire
ravelin	ravelin	outwork	Detached triangular work before a curtain.	Architecture militaire
tenaille	tenaille	outwork	Low work in the ditch before a curtain.	Architecture militaire
gabion	gabion	field work	Earth-filled wicker cylinder used to raise emergency parapets.	Architecture militaire
clayonnage	wattling	field work	Woven brushwood layered with earth to build a field rampart.	Architecture militaire
palis / palissade	palisade	field work	Stake fence; doubled rows a pike-length apart with the ditch spoil packed between.	Architecture militaire
motte	motte, artificial mound	site	Natural or made mound carrying an isolated tower; Viollet traces the type back to late Roman frontier posts.	Tour
chemise	chemise, mantle wall round a donjon	donjon	Low wall enclosing the base of a donjon, with its own ditch; at Coucy the gap is 8 m wide and paved.	Donjon
mur de refend	spine wall, internal cross wall	donjon	Internal dividing wall in a rectangular donjon, common in the Norman type.	Donjon
porte	gate, doorway	gate	Any opening at ground level. The article splits fortified gates, donjon and postern doors, abbey, church and house doors.	Porte
poterne	postern	gate	Small secondary door, usually raised above outside ground and reached by ladder or a single-arm drawbridge.	Porte
poterne de ravitaillement	supply postern	gate	Raised postern served by an inclined plane and cable winch so the place can be provisioned without opening the main gate.	Porte
herse	portcullis	gate gear	Grille dropping in a slot; usually doubled, with the two winches deliberately separated to make treachery harder.	Porte
coulisse	portcullis slot, groove	gate gear	The vertical channel a portcullis runs in.	Porte
treuil	winch, windlass	gate gear	Drum with cranks working the portcullis or drawbridge chains against counterweights.	Porte
contre-poids	counterweight	gate gear	Weight balancing a portcullis or bridge so two men can work it.	Porte
vantail (pl. vantaux)	leaf of a door	gate gear	Timber door leaf; usually ironbound and barred, and usually doubled behind the portcullis.	Porte
feuillure	rebate	gate gear	The rebate in the jamb that a leaf or a raised bridge deck closes into.	Porte
pont-levis	drawbridge (arm and chain type)	gate gear	Deck pivoting on trunnions, raised by chains from two counterweighted arms that swing back into grooves in the face.	Porte
pont a bascule	tilting bridge, turning bridge	gate gear	Bridge pivoting about a mid axle, the tail dropping into a pit; used at the Coucy donjon door with a hinged ladder flap in the deck.	Porte
pont volant	flying bridge, removable bridge	gate gear	Light bridge that can be lifted away entirely.	Porte
tablier	bridge deck	gate gear	The planked deck of a bridge.	Porte
longrine	bearer, longitudinal beam	gate gear	Timber carrying the fixed deck, seated on stone corbels so it can be struck away.	Porte
chevalet	trestle	gate gear	Raking timber trestle carrying a fixed bridge span; dropped by knocking out its keys.	Porte
rainure	groove, chase	gate gear	The recess in the wall face that a drawbridge arm swings into.	Porte
barriere	barrier, gated fence	gate	Timber barrier across an approach or across the lices.	Architecture militaire
tape-cul	tape-cul, counterweighted swing barrier	gate	Pivoting counterweighted pole barrier.	Architecture militaire
sape	sapping, undermining by hand	attack	Working away the wall foot under cover; the main pre-gunpowder breaching method, answered by the talus and by solid tower bases.	Architecture militaire
mine	mine, gallery under a wall	attack	Tunnel driven under a tower, the roof shored with timber and then fired to collapse it.	Porte
beffroi	belfry, siege tower	attack	Rolling timber tower built taller than the wall; useless until the defenders' hourds are burnt or broken.	Architecture militaire
chat / gate	cat, covered ram-gallery	attack	Timber gallery hide-covered, pushed to the wall foot to protect the ram and the sappers.	Architecture militaire
mouton / bosson	ram	attack	The battering ram; still in evidence in French manuscripts through the 15th century.	Architecture militaire
engin	engine, counterweight artillery	attack	Trebuchet-class machine; accurate and terrible to 150-200 m by his account.	Tour
perriere / mangonneau	petrary, mangonel	attack	Stone-throwing engines mounted on the tower platforms.	Porte
bouche a feu	gun, piece of ordnance	attack	Gunpowder artillery; from the mid 14th century it slowly overturns the whole system.	Architecture militaire
bombarde	bombard	attack	Large gun throwing a stone ball on a high trajectory; poor at breaching thick, well-built masonry.	Porte
veuglaire / coulevrine / basilic	veuglaire, culverin, basilisk	attack	Late 14th and 15th century pieces, mounted on outworks rather than on the old towers.	Tour
carreau / vireton / sagette	quarrel, bolt, arrow	attack	Missiles shot through the archeres and from the hoardings.	Architecture militaire
contre-vallation	contravallation	attack	Besieger's line facing the place; also used by the defenders as an outer stockaded line.	Architecture militaire
boyau de tranchee	sap, approach trench	attack	Zig-zag trench pushing the batteries towards the counterscarp; Viollet credits the Bureau brothers with the first judicious use.	Architecture militaire
